N°, Nom, Type, Code.W, Wilaya, Commune, DSP, Latitude, Longitude
1, MUSTAPHA PACHA, CHU, 16, ALGER, SIDI M'HAMED, ALGER, 36.76183,  3.05531
2, PR NEFISSA HAMOU, CHU, 16, ALGER, HUSSEIN DEY, ALGER, 36.73654,  3.1049
3, MOHAMED LAMINE DEBAGHINE, CHU, 16, ALGER, BAB EL OUED, ALGER, 36.66485,  3.14194
4, YASSAAD HASSANI, CHU, 16, ALGER, BENI MESSOUS, ALGER, 36.7805,  2.98179
5, DJILLALI BOUNAÂMA, CHU, 16, ALGER, DOUERA, ALGER, 36.66666,  2.94272
6, CPMC CENTRE PIERE ET MARIE CURIE, EHS, 16, ALGER, SIDI M'HAMED, ALGER, 36.76201,  3.05512
7, ALI AIT IDIR, EHS, 16, ALGER, BAB EL OUED, ALGER, 36.78745,  3.05816
8, ZEMIRLI, EHS, 16, ALGER, EL HARRACH, ALGER, 36.70335,  3.124
9, DRID HOCINE, EHS, 16, ALGER, KOUBA, ALGER, 36.73891,  3.08654
10, MOHAMED ABDERAHMANI, EHS, 16, ALGER, BIR MOURAD RAÏS, ALGER, 36.73448,  3.05289
11, EL AADI FLICI ex EL KETTAR, EHS, 16, ALGER, OUED KORICHE, ALGER, 36.78518,  3.05151
12, TIXERAINE, EHS, 16, ALGER, BIRKHADEM, ALGER, 36.72457,  3.02038
13, LES BRULÉS, EHS, 16, ALGER, ALGER-CENTRE, ALGER, 36.772230,  3.056674
14, YAGOUBI ZOHIR AZUR PLAGE, EHS, 16, ALGER, STAOUELI, ALGER, 36.73632,  2.84523
15, BOUKHROUFA ABDELKADER, EHS, 16, ALGER, BEN AKNOUN, ALGER, 36.75463,  3.00105
16, MAHFOUD BOUCEBCI CHERAGA, EHS, 16, ALGER, CHERAGA, ALGER, 36.76622,  2.9552
17, MAOUCHE MOHAND AMOKRANE CNMS, EHS, 16, ALGER, DELY IBRAHIM, ALGER, 36.76789,  3.0014
18, RAHMOUNI DJILLALI ex LES ORANGERS, EPH, 16, ALGER, EL MOURADIA, ALGER, 36.75542,  3.04158
19, BACHIR MENTOURI, EPH, 16, ALGER, KOUBA, ALGER, 36.72624,  3.08673
20, ROUIBA, EPH, 16, ALGER, ROUÏBA, ALGER, 36.73505,  3.28634
21, HASSAN BADI, EPH, 16, ALGER, EL HARRACH, ALGER, 36.72189,  3.14714
22, AIN TAYA, EPH, 16, ALGER, AÏN TAYA, ALGER, 36.78934,  3.29608
23, BOLOGHINE IBN ZIRI, EPH, 16, ALGER, EL HAMMAMET, ALGER, 36.81064,  2.9789
24, BEL-KASSEMI TAÏB, EPH, 16, ALGER, ZERALDA, ALGER, 36.70046,  2.84384
25, DJILLALI BEL KHANCHIR BIRTRARIA, EPH, 16, ALGER, EL BIAR, ALGER, 36.77312,  3.0402
26, REGHAÏA, EPSP, 16, ALGER, REGHAÏA, ALGER, , 
27, BAB EL OUED, EPSP, 16, ALGER, BAB EL OUED, ALGER, , 
28, DERGANA, EPSP, 16, ALGER, BORDJ EL KIFFAN, ALGER, , 
, AIN TAYA, EPSP-POL, , , AÏN TAYA, , , 
, BORJ EL BAHRI, EPSP-POL, , , BORDJ EL BAHRI, , , 
, DAR EL BEÏDA, EPSP-POL, , , DAR EL BEÏDA, , , 
, EL HAMIZ, , , , , , , 
, BORDJ EL KIFFAN, EPSP-POL, , , BORDJ EL KIFFAN, , , 
, FAIZI, , , , , , , 
, DERGANA, , , , , , , 
, 8 MAI 1945, EPSP-POL, , , BAB EZZOUAR, , , 
, 5 JUILLET, , , , , , , 
, EL DJORF, , , , , , , 
, MOHAMMADIA 1, EPSP-POL, , , MOHAMMADIA, , , 
, MOHAMMADIA 2, , , , , , , 
, EL MARSA, EPSP-POL, , , EL MARSA, , , 
29, SIDI M'HAMED, EPSP, 16, ALGER, SIDI M'HAMED, ALGER, , 
30, CHERAGA, EPSP, 16, ALGER, CHERAGA, ALGER, , 
31, DRARIA, EPSP, 16, ALGER, DRARIA, ALGER, , 
32, ZERALDA, EPSP, 16, ALGER, ZERALDA, ALGER, , 
33, KOUBA, EPSP, 16, ALGER, KOUBA, ALGER, , 
34, BOUZAREAH, EPSP, 16, ALGER, BOUZAREAH, ALGER, , 
35, BARAKI, EPSP, 16, ALGER, BARAKI, ALGER, , 
